File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_5.csv,1,1,2,True,True,True
10_5.csv,10,10,5,True,True,True
100_5.csv,100,100,5,True,True,True
101_5.csv,101,101,6,True,True,True
102_5.csv,102,102,3,True,True,True
103_5.csv,103,103,5,True,True,True
104_5.csv,104,104,3,True,True,True
105_5.csv,105,105,6,True,True,True
106_5.csv,106,106,3,True,True,True
107_5.csv,107,107,2,True,True,True
108_5.csv,108,108,5,True,True,True
109_5.csv,109,109,4,True,True,True
11_5.csv,11,11,3,True,True,True
110_5.csv,110,110,4,True,True,True
111_5.csv,111,111,5,True,True,True
112_5.csv,112,112,3,True,True,True
113_5.csv,113,113,5,True,True,True
114_5.csv,114,114,4,True,True,True
115_5.csv,115,115,9,True,True,True
116_5.csv,116,116,8,True,True,True
117_5.csv,117,117,4,True,True,True
118_5.csv,118,118,2,True,True,True
119_5.csv,119,119,6,True,True,True
12_5.csv,12,12,7,True,True,True
120_5.csv,120,120,3,True,True,True
121_5.csv,121,121,4,True,True,True
122_5.csv,122,122,4,True,True,True
123_5.csv,123,123,3,True,True,True
124_5.csv,124,124,8,True,True,True
125_5.csv,125,125,6,True,True,True
126_5.csv,126,126,3,True,True,True
127_5.csv,127,127,3,True,True,True
128_5.csv,128,128,6,True,True,True
129_5.csv,129,129,5,True,True,True
13_5.csv,13,13,2,True,True,True
130_5.csv,130,130,4,True,True,True
131_5.csv,131,131,1,True,True,True
132_5.csv,132,132,6,True,True,True
133_5.csv,133,133,9,True,True,True
134_5.csv,134,134,3,True,True,True
135_5.csv,135,135,3,True,True,True
136_5.csv,136,136,4,True,True,True
137_5.csv,137,137,3,True,True,True
138_5.csv,138,138,6,True,True,True
139_5.csv,139,139,4,True,True,True
14_5.csv,14,14,5,True,True,True
140_5.csv,140,140,8,True,True,True
15_5.csv,15,15,4,True,True,True
151_5.csv,151,151,6,True,True,True
152_5.csv,152,152,3,True,True,True
153_5.csv,153,153,6,True,True,True
154_5.csv,154,154,7,True,True,True
155_5.csv,155,155,4,True,True,True
156_5.csv,156,156,5,True,True,True
157_5.csv,157,157,2,True,True,True
158_5.csv,158,158,2,True,True,True
159_5.csv,159,159,7,True,True,True
16_5.csv,16,16,2,True,True,True
160_5.csv,160,160,6,True,True,True
161_5.csv,161,161,3,True,True,True
162_5.csv,162,162,4,True,True,True
163_5.csv,163,163,2,True,True,True
164_5.csv,164,164,4,True,True,True
165_5.csv,165,165,3,True,True,True
166_5.csv,166,166,6,True,True,True
167_5.csv,167,167,4,True,True,True
168_5.csv,168,168,3,True,True,True
169_5.csv,169,169,2,True,True,True
17_5.csv,17,17,3,True,True,True
170_5.csv,170,170,6,True,True,True
171_5.csv,171,171,3,True,True,True
172_5.csv,172,172,7,True,True,True
173_5.csv,173,173,1,True,True,True
174_5.csv,174,174,5,True,True,True
175_5.csv,175,175,2,True,True,True
176_5.csv,176,176,5,True,True,True
177_5.csv,177,177,8,True,True,True
178_5.csv,178,178,4,True,True,True
179_5.csv,179,179,4,True,True,True
18_5.csv,18,18,3,True,True,True
180_5.csv,180,180,3,True,True,True
181_5.csv,181,181,1,True,True,True
182_5.csv,182,182,4,True,True,True
183_5.csv,183,183,7,True,True,True
184_5.csv,184,184,6,True,True,True
185_5.csv,185,185,4,True,True,True
186_5.csv,186,186,5,True,True,True
187_5.csv,187,187,3,True,True,True
188_5.csv,188,188,6,True,True,True
189_5.csv,189,189,5,True,True,True
19_5.csv,19,19,2,True,True,True
190_5.csv,190,190,6,True,True,True
191_5.csv,191,191,8,True,True,True
192_5.csv,192,192,4,True,True,True
193_5.csv,193,193,5,True,True,True
194_5.csv,194,194,3,True,True,True
195_5.csv,195,195,3,True,True,True
196_5.csv,196,196,4,True,True,True
197_5.csv,197,197,5,True,True,True
198_5.csv,198,198,2,True,True,True
199_5.csv,199,199,4,True,True,True
2_5.csv,2,2,7,True,True,True
20_5.csv,20,20,3,True,True,True
200_5.csv,200,200,5,True,True,True
202_5.csv,202,202,4,True,True,True
203_5.csv,203,203,5,True,True,True
204_5.csv,204,204,4,True,True,True
205_5.csv,205,205,4,True,True,True
206_5.csv,206,206,4,True,True,True
207_5.csv,207,207,5,True,True,True
208_5.csv,208,208,2,True,True,True
209_5.csv,209,209,4,True,True,True
21_5.csv,21,21,3,True,True,True
210_5.csv,210,210,6,True,True,True
211_5.csv,211,211,3,True,True,True
212_5.csv,212,212,4,True,True,True
213_5.csv,213,213,2,True,True,True
214_5.csv,214,214,6,True,True,True
215_5.csv,215,215,7,True,True,True
216_5.csv,216,216,4,True,True,True
217_5.csv,217,217,2,True,True,True
218_5.csv,218,218,6,True,True,True
219_5.csv,219,219,3,True,True,True
22_5.csv,22,22,2,True,True,True
220_5.csv,220,220,4,True,True,True
221_5.csv,221,221,1,True,True,True
222_5.csv,222,222,4,True,True,True
223_5.csv,223,223,17,True,True,True
224_5.csv,224,224,4,True,True,True
225_5.csv,225,225,7,True,True,True
226_5.csv,226,226,6,True,True,True
227_5.csv,227,227,5,True,True,True
228_5.csv,228,228,6,True,True,True
229_5.csv,229,229,3,True,True,True
23_5.csv,23,23,3,True,True,True
230_5.csv,230,230,6,True,True,True
231_5.csv,231,231,5,True,True,True
232_5.csv,232,232,4,True,True,True
233_5.csv,233,233,7,True,True,True
234_5.csv,234,234,3,True,True,True
235_5.csv,235,235,3,True,True,True
236_5.csv,236,236,4,True,True,True
237_5.csv,237,237,3,True,True,True
238_5.csv,238,238,3,True,True,True
239_5.csv,239,239,5,True,True,True
24_5.csv,24,24,4,True,True,True
240_5.csv,240,240,2,True,True,True
241_5.csv,241,241,4,True,True,True
242_5.csv,242,242,7,True,True,True
243_5.csv,243,243,4,True,True,True
244_5.csv,244,244,3,True,True,True
245_5.csv,245,245,7,True,True,True
246_5.csv,246,246,3,True,True,True
247_5.csv,247,247,5,True,True,True
248_5.csv,248,248,3,True,True,True
249_5.csv,249,249,2,True,True,True
25_5.csv,25,25,4,True,True,True
250_5.csv,250,250,3,True,True,True
251_5.csv,251,251,3,True,True,True
252_5.csv,252,252,4,True,True,True
255_5.csv,255,255,3,True,True,True
256_5.csv,256,256,4,True,True,True
257_5.csv,257,257,1,True,True,True
259_5.csv,259,259,3,True,True,True
26_5.csv,26,26,6,True,True,True
260_5.csv,260,260,2,True,True,True
261_5.csv,261,261,6,True,True,True
262_5.csv,262,262,6,True,True,True
263_5.csv,263,263,5,True,True,True
264_5.csv,264,264,4,True,True,True
265_5.csv,265,265,4,True,True,True
266_5.csv,266,266,2,True,True,True
267_5.csv,267,267,5,True,True,True
268_5.csv,268,268,4,True,True,True
269_5.csv,269,269,18,True,True,True
27_5.csv,27,27,2,True,True,True
270_5.csv,270,270,4,True,True,True
271_5.csv,271,271,4,True,True,True
272_5.csv,272,272,4,True,True,True
273_5.csv,273,273,5,True,True,True
274_5.csv,274,274,9,True,True,True
275_5.csv,275,275,4,True,True,True
276_5.csv,276,276,2,True,True,True
277_5.csv,277,277,6,True,True,True
278_5.csv,278,278,3,True,True,True
279_5.csv,279,279,2,True,True,True
28_5.csv,28,28,0,True,True,True
280_5.csv,280,280,5,True,True,True
281_5.csv,281,281,4,True,True,True
282_5.csv,282,282,4,True,True,True
283_5.csv,283,283,5,True,True,True
284_5.csv,284,284,6,True,True,True
285_5.csv,285,285,5,True,True,True
286_5.csv,286,286,4,True,True,True
287_5.csv,287,287,3,True,True,True
288_5.csv,288,288,3,True,True,True
289_5.csv,289,289,6,True,True,True
29_5.csv,29,29,3,True,True,True
290_5.csv,290,290,4,True,True,True
291_5.csv,291,291,5,True,True,True
292_5.csv,292,292,7,True,True,True
293_5.csv,293,293,3,True,True,True
294_5.csv,294,294,4,True,True,True
295_5.csv,295,295,3,True,True,True
296_5.csv,296,296,2,True,True,True
297_5.csv,297,297,1,True,True,True
298_5.csv,298,298,4,True,True,True
299_5.csv,299,299,6,True,True,True
3_5.csv,3,3,5,True,True,True
30_5.csv,30,30,6,True,True,True
300_5.csv,300,300,2,True,True,True
301_5.csv,301,301,3,True,True,True
302_5.csv,302,302,3,True,True,True
303_5.csv,303,303,2,True,True,True
304_5.csv,304,304,2,True,True,True
305_5.csv,305,305,4,True,True,True
306_5.csv,306,306,5,True,True,True
307_5.csv,307,307,4,True,True,True
308_5.csv,308,308,4,True,True,True
309_5.csv,309,309,8,True,True,True
31_5.csv,31,31,6,True,True,True
32_5.csv,32,32,5,True,True,True
33_5.csv,33,33,11,True,True,True
34_5.csv,34,34,4,True,True,True
35_5.csv,35,35,2,True,True,True
36_5.csv,36,36,5,True,True,True
37_5.csv,37,37,5,True,True,True
38_5.csv,38,38,5,True,True,True
39_5.csv,39,39,6,True,True,True
4_5.csv,4,4,2,True,True,True
40_5.csv,40,40,4,True,True,True
41_5.csv,41,41,3,True,True,True
42_5.csv,42,42,5,True,True,True
43_5.csv,43,43,4,True,True,True
44_5.csv,44,44,3,True,True,True
45_5.csv,45,45,5,True,True,True
46_5.csv,46,46,6,True,True,True
47_5.csv,47,47,3,True,True,True
48_5.csv,48,48,2,True,True,True
49_5.csv,49,49,5,True,True,True
5_5.csv,5,5,4,True,True,True
50_5.csv,50,50,5,True,True,True
51_5.csv,51,51,4,True,True,True
52_5.csv,52,52,3,True,True,True
53_5.csv,53,53,6,True,True,True
54_5.csv,54,54,4,True,True,True
55_5.csv,55,55,6,True,True,True
56_5.csv,56,56,6,True,True,True
57_5.csv,57,57,2,True,True,True
58_5.csv,58,58,6,True,True,True
59_5.csv,59,59,3,True,True,True
6_5.csv,6,6,4,True,True,True
60_5.csv,60,60,4,True,True,True
61_5.csv,61,61,6,True,True,True
62_5.csv,62,62,6,True,True,True
63_5.csv,63,63,2,True,True,True
64_5.csv,64,64,2,True,True,True
65_5.csv,65,65,4,True,True,True
66_5.csv,66,66,5,True,True,True
67_5.csv,67,67,3,True,True,True
68_5.csv,68,68,6,True,True,True
69_5.csv,69,69,6,True,True,True
7_5.csv,7,7,3,True,True,True
70_5.csv,70,70,4,True,True,True
71_5.csv,71,71,2,True,True,True
72_5.csv,72,72,4,True,True,True
73_5.csv,73,73,8,True,True,True
74_5.csv,74,74,3,True,True,True
75_5.csv,75,75,3,True,True,True
76_5.csv,76,76,2,True,True,True
77_5.csv,77,77,5,True,True,True
78_5.csv,78,78,7,True,True,True
79_5.csv,79,79,3,True,True,True
8_5.csv,8,8,4,True,True,True
80_5.csv,80,80,6,True,True,True
81_5.csv,81,81,7,True,True,True
82_5.csv,82,82,3,True,True,True
83_5.csv,83,83,4,True,True,True
84_5.csv,84,84,3,True,True,True
85_5.csv,85,85,3,True,True,True
86_5.csv,86,86,3,True,True,True
87_5.csv,87,87,2,True,True,True
88_5.csv,88,88,5,True,True,True
89_5.csv,89,89,3,True,True,True
9_5.csv,9,9,3,True,True,True
90_5.csv,90,90,4,True,True,True
91_5.csv,91,91,6,True,True,True
92_5.csv,92,92,7,True,True,True
93_5.csv,93,93,4,True,True,True
94_5.csv,94,94,4,True,True,True
95_5.csv,95,95,5,True,True,True
96_5.csv,96,96,2,True,True,True
97_5.csv,97,97,8,True,True,True
98_5.csv,98,98,5,True,True,True
99_5.csv,99,99,3,True,True,True
