row,column,python,matlab
0,Intra_Hamming,15,29
0,Within_Threshold,True,0
0,Match,True,1
0,Authenticated,True,0
1,Intra_Hamming,22,29
1,Within_Threshold,True,0
1,Match,True,1
1,Authenticated,True,0
2,Intra_Hamming,54,40
2,Within_Threshold,False,0
2,Match,True,1
2,Authenticated,False,0
3,Intra_Hamming,56,48
3,Within_Threshold,False,0
3,Match,True,1
3,Authenticated,False,0
4,Intra_Hamming,48,43
4,Within_Threshold,False,0
4,Match,True,1
4,Authenticated,False,0
5,Intra_Hamming,55,51
5,Within_Threshold,False,0
5,Match,True,1
5,Authenticated,False,0
6,Intra_Hamming,58,33
6,Within_Threshold,False,0
6,Match,True,1
6,Authenticated,False,0
7,Intra_Hamming,48,41
7,Within_Threshold,False,0
7,Match,True,1
7,Authenticated,False,0
8,Intra_Hamming,45,37
8,Within_Threshold,False,0
8,Match,True,1
8,Authenticated,False,0
9,Intra_Hamming,56,41
9,Within_Threshold,False,0
9,Match,True,1
9,Authenticated,False,0
10,Intra_Hamming,58,46
10,Within_Threshold,False,0
10,Match,True,1
10,Authenticated,False,0
11,Intra_Hamming,42,44
11,Within_Threshold,False,0
11,Match,True,1
11,Authenticated,False,0
12,Intra_Hamming,19,34
12,Within_Threshold,True,0
12,Match,True,1
12,Authenticated,True,0
13,Intra_Hamming,55,39
13,Within_Threshold,False,0
13,Match,True,1
13,Authenticated,False,0
14,Intra_Hamming,53,44
14,Within_Threshold,False,0
14,Match,True,1
14,Authenticated,False,0
15,Intra_Hamming,55,49
15,Within_Threshold,False,0
15,Match,True,1
15,Authenticated,False,0
16,Intra_Hamming,48,46
16,Within_Threshold,False,0
16,Match,True,1
16,Authenticated,False,0
17,Intra_Hamming,56,38
17,Within_Threshold,False,0
17,Match,True,1
17,Authenticated,False,0
18,Intra_Hamming,45,42
18,Within_Threshold,False,0
18,Match,True,1
18,Authenticated,False,0
19,Intra_Hamming,46,38
19,Within_Threshold,False,0
19,Match,True,1
19,Authenticated,False,0
20,Intra_Hamming,50,38
20,Within_Threshold,False,0
20,Match,True,1
20,Authenticated,False,0
21,Intra_Hamming,54,40
21,Within_Threshold,False,0
21,Match,True,1
21,Authenticated,False,0
22,Intra_Hamming,40,47
22,Within_Threshold,False,0
22,Match,True,1
22,Authenticated,False,0
23,Intra_Hamming,18,20
23,Within_Threshold,True,1
23,Match,True,1
23,Authenticated,True,1
24,Within_Threshold,False,0
24,Match,True,1
24,Authenticated,False,0
25,Intra_Hamming,58,41
25,Within_Threshold,False,0
25,Match,True,1
25,Authenticated,False,0
26,Intra_Hamming,57,33
26,Within_Threshold,False,0
26,Match,True,1
26,Authenticated,False,0
27,Intra_Hamming,67,41
