row,column,python,matlab
0,Within_Threshold,True,1
0,Match,True,1
0,Authenticated,True,1
1,Intra_Hamming,11,20
1,Within_Threshold,True,1
1,Match,True,1
1,Authenticated,True,1
2,Intra_Hamming,19,15
2,Within_Threshold,True,1
2,Match,True,1
2,Authenticated,True,1
3,Intra_Hamming,32,23
3,Within_Threshold,False,1
3,Match,True,1
3,Authenticated,False,1
4,Intra_Hamming,27,26
4,Within_Threshold,False,0
4,Match,True,1
4,Authenticated,False,0
5,Intra_Hamming,22,20
5,Within_Threshold,True,1
5,Match,True,1
5,Authenticated,True,1
6,Intra_Hamming,24,20
6,Within_Threshold,True,1
6,Match,True,1
6,Authenticated,True,1
7,Intra_Hamming,31,30
7,Within_Threshold,False,0
7,Match,True,1
7,Authenticated,False,0
8,Intra_Hamming,23,20
8,Within_Threshold,True,1
8,Match,True,1
8,Authenticated,True,1
9,Intra_Hamming,31,21
9,Within_Threshold,False,1
9,Match,True,1
9,Authenticated,False,1
10,Intra_Hamming,28,27
10,Within_Threshold,False,0
10,Match,True,1
10,Authenticated,False,0
11,Intra_Hamming,29,23
11,Within_Threshold,False,1
11,Match,True,1
11,Authenticated,False,1
12,Intra_Hamming,10,18
12,Within_Threshold,True,1
12,Match,True,1
12,Authenticated,True,1
13,Intra_Hamming,37,33
13,Within_Threshold,False,0
13,Match,True,1
13,Authenticated,False,0
14,Intra_Hamming,27,20
14,Within_Threshold,False,1
14,Match,True,1
14,Authenticated,False,1
15,Intra_Hamming,27,30
15,Within_Threshold,False,0
15,Match,True,1
15,Authenticated,False,0
16,Intra_Hamming,39,30
16,Within_Threshold,False,0
16,Match,True,1
16,Authenticated,False,0
17,Intra_Hamming,30,24
17,Within_Threshold,False,1
17,Match,True,1
17,Authenticated,False,1
18,Intra_Hamming,28,19
18,Within_Threshold,False,1
18,Match,True,1
18,Authenticated,False,1
19,Intra_Hamming,24,20
19,Within_Threshold,True,1
19,Match,True,1
19,Authenticated,True,1
20,Intra_Hamming,22,27
20,Within_Threshold,True,0
20,Match,True,1
20,Authenticated,True,0
21,Intra_Hamming,23,24
21,Within_Threshold,True,1
21,Match,True,1
21,Authenticated,True,1
22,Intra_Hamming,27,25
22,Within_Threshold,False,1
22,Match,True,1
22,Authenticated,False,1
23,Intra_Hamming,18,9
23,Within_Threshold,True,1
23,Match,True,1
23,Authenticated,True,1
24,Intra_Hamming,31,21
24,Within_Threshold,False,1
24,Match,True,1
24,Authenticated,False,1
25,Intra_Hamming,30,18
25,Within_Threshold,False,1
25,Match,True,1
25,Authenticated,False,1
26,Intra_Hamming,32,19
26,Within_Threshold,False,1
26,Match,True,1
26,Authenticated,False,1
27,Intra_Hamming,19,18
27,Within_Threshold,True,1
27,Match,True,1
27,Authenticated,True,1
28,Intra_Hamming,29,26
28,Within_Threshold,False,0
28,Match,True,1
28,Authenticated,False,0
29,Intra_Hamming,21,19
29,Within_Threshold,True,1
29,Match,True,1
29,Authenticated,True,1
30,Intra_Hamming,25,21
30,Within_Threshold,True,1
30,Match,True,1
30,Authenticated,True,1
31,Intra_Hamming,27,31
31,Within_Threshold,False,0
31,Match,True,1
31,Authenticated,False,0
32,Intra_Hamming,35,28
32,Within_Threshold,False,0
32,Match,True,1
32,Authenticated,False,0
33,Intra_Hamming,32,26
33,Within_Threshold,False,0
33,Match,True,1
33,Authenticated,False,0
34,Intra_Hamming,8,12
34,Within_Threshold,True,1
34,Match,True,1
34,Authenticated,True,1
35,Intra_Hamming,29,17
35,Within_Threshold,False,1
35,Match,True,1
35,Authenticated,False,1
36,Within_Threshold,True,1
36,Match,True,1
36,Authenticated,True,1
37,Intra_Hamming,27,20
